CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
1484,1485,0.245966,6.54918,4802.72,4868.75,3689.19,3796.99,1242.67,1201.6,9.27937,9.07732
1485,1422,1.45234,54.5112,4154.63,4195.84,3493.64,2870.06,1215.73,1140.79,8.97211,8.87567
1486,1477,0.0427594,1.37206,4853.02,4920.88,3939.95,4017.34,1288.43,1273.33,9.6314,9.41112
1489,NULL,0.123294,0.631202,3058.02,3168.79,3977.02,4020.5,1309.89,1305.77,11.4445,11.2288
1492,1477,0.0239203,0.781832,5031.32,4979.89,4007.19,4189.72,1216.23,1160.73,9.36445,9.47727
1499,1471,1.94937,39.888,4951.34,4866.85,3733.84,3743.03,1178.59,1171.29,8.54965,9.5574
1500,1514,0.0288718,0.389366,5286.35,5246.45,3953.39,3931.72,1312.22,1306.21,9.8365,9.5978
1503,1441,0.556409,6.61964,5561.32,5447.69,3709.56,3717.36,1285.65,1287.32,10.9712,10.6001
1511,1418,8.43131,47.2392,4940.84,5053.6,3795.97,3828.42,1268.98,1230.38,10.4895,10.1592
1514,1484,0.106194,2.35111,4889,5224.15,3864.94,4111.28,1188.38,1214.37,9.1608,9.48052
1517,1499,0.104635,8.90595,4869.94,4916.03,3910.68,4103.81,1261.87,1243.05,8.57274,8.99599
1519,1484,0.0787265,26.9795,4984.7,4020.86,3751.91,3097.7,1231.28,1205.95,8.84114,8.31851
1521,1517,0.361163,12.2278,5097.15,5332.61,3828.89,3997.76,1215.18,1208.72,8.3408,9.52171
1522,NULL,8.00185,2887.58,3242.58,4325.88,3450.04,3238.55,1046.41,1115.36,9.27781,9.26651
1526,XX2,0.0706093,1.53584,5576.73,5208.76,3704.82,3811.21,1281.26,1276.41,10.3501,9.57141
1531,3392,1.78904,84.2451,3511.38,3956.58,3306.72,3002.13,1114.99,1109.79,8.34733,8.91361
1537,XX32,0.133494,9.63252,4766.41,4699.58,3883.02,3497.03,1260.55,1263.86,10.1577,10.3669
1543,1531,1.00585,101.863,3454.26,4072.22,3600.74,2712.76,1207.1,1190.24,7.31049,9.00967
1544,3090,2.12703,40.685,4936.08,4909.82,3814.18,3828.56,1224.53,1188.05,10.4016,10.3236
1548,1517,0.134527,3.77784,3882.7,5388.11,3931.93,4067.14,1333.12,1308.08,9.95613,10.2638
1549,1531,0.0663205,3.66461,4241.56,4114.92,3283.87,2599.39,1195.75,1164.88,9.74209,8.81017
1557,1499,0.785941,29.4492,3736.96,4214.82,3696.87,3227.67,1174.28,1215.94,8.98548,9.16978
1564,1531,0.319064,3.34862,3877.02,4309.19,3734.6,2967.27,1211.48,1166.6,9.65012,9.38539
1578,NULL,3.14706,38.929,3532.54,3210.63,3169.6,2258.12,1069.07,1036.78,6.20515,6.85184
1581,1522,4.24043,280.98,4790.1,4694.37,3446.52,3566.61,1110.59,1111.49,8.08884,8.97221
